1.327372+0.411601j, 0.980009+1.036178j, 0.523762+1.370092j, -0.153165+1.370376j, -0.799097+1.229995j, -1.163694+0.786145j, -1.392555+0.099574j, -1.369370-0.472570j, 0.891154+1.052054j, 0.336992+1.426395j, -0.225635+1.400952j, -0.873605+1.089381j, -1.290430+0.685260j, -1.370568+0.040425j, -1.278551-0.643200j, -0.924895-1.066516j, 0.198892+1.382290j, -0.401285+1.418958j, -0.906075+1.038301j, -1.346098+0.501367j, -1.430680-0.047009j, -1.178817-0.696943j, -0.797974-1.208405j, -0.215422-1.352163j, -0.566283+1.319868j, -1.024852+1.009458j, -1.319140+0.390029j, -1.437747-0.240723j, -1.150883-0.752154j, -0.626924-1.248266j, -0.091545-1.429926j, 0.543001-1.233562j, -1.163272+0.885280j, -1.360690+0.336333j, -1.347811-0.384749j, -1.123238-0.910625j, -0.549990-1.236120j, 0.097771-1.430413j, 0.630208-1.249525j, 1.151548-0.753088j, -1.442785+0.205841j, -1.295412-0.427861j, -0.984388-1.043485j, -0.496896-1.314385j, 0.216165-1.353023j, 0.801221-1.207946j, 1.171096-0.709813j, 1.425273-0.048421j, -1.320322-0.531244j, -0.861435-1.067263j, -0.338577-1.406142j, 0.264348-1.338635j, 0.923773-1.074295j, 1.282580-0.641146j, 1.366898+0.037849j, 1.293271+0.684986j, -0.819646-1.099515j, -0.159875-1.388406j, 0.398260-1.376860j, 0.942706-0.967421j, 1.371611-0.470369j, 1.393953+0.105995j, 1.171042+0.781229j, 0.798907+1.231160j, 
1.425335+0.205722j, 1.162968+0.792721j, 0.696208+1.250845j, 0.106250+1.410107j, -0.541214+1.288617j, -1.065069+0.943559j, -1.326529+0.373395j, -1.374079-0.282163j, 1.119858+0.890352j, 0.582957+1.280040j, -0.022592+1.431967j, -0.625497+1.245757j, -1.136002+0.827199j, -1.383577+0.271016j, -1.326615-0.387846j, -1.043650-0.963843j, 0.489173+1.320678j, -0.169783+1.402782j, -0.745045+1.204338j, -1.181584+0.728139j, -1.413455+0.125142j, -1.307050-0.487115j, -0.940028-1.043883j, -0.418215-1.360413j, -0.267298+1.365738j, -0.863622+1.119523j, -1.244026+0.633941j, -1.394521-0.008949j, -1.275656-0.613552j, -0.858281-1.096221j, -0.265805-1.396434j, 0.334951-1.375945j, -0.946614+1.025119j, -1.318751+0.522531j, -1.378201-0.109757j, -1.196049-0.737672j, -0.776486-1.174470j, -0.150830-1.388840j, 0.484992-1.361347j, 0.995281-1.004183j, -1.353942+0.372570j, -1.388562-0.222944j, -1.119855-0.823282j, -0.662760-1.260017j, -0.055211-1.400843j, 0.598787-1.278488j, 1.097721-0.932857j, 1.366455-0.337548j, -1.369702-0.371694j, -1.063872-0.905223j, -0.529154-1.294540j, 0.072753-1.424953j, 0.687526-1.222426j, 1.191261-0.807922j, 1.407519-0.235915j, 1.354723+0.419978j, -0.998391-1.015145j, -0.422780-1.325952j, 0.226143-1.416462j, 0.785981-1.181696j, 1.237834-0.697694j, 1.439614-0.109181j, 1.316368+0.509294j, 0.955406+1.061076j, 
-0.280297+1.387734j, -0.855543+1.088041j, -1.292102+0.604130j, -1.409151+0.005842j, -1.245039-0.647768j, -0.884366-1.141836j, -0.300319-1.377302j, 0.366408-1.386345j, -0.942418+1.042261j, -1.310455+0.475557j, -1.437342-0.134467j, -1.202567-0.716881j, -0.765453-1.219431j, -0.193016-1.428395j, 0.460993-1.328030j, 1.017713-1.031355j, -1.337700+0.394034j, -1.394191-0.281115j, -1.171237-0.835602j, -0.651939-1.246770j, -0.044426-1.450618j, 0.546848-1.301125j, 1.095173-0.896098j, 1.386146-0.379744j, -1.337591-0.370448j, -1.077516-0.964011j, -0.568900-1.301906j, 0.096478-1.414642j, 0.684279-1.280311j, 1.133740-0.821760j, 1.412285-0.222399j, 1.359976+0.379852j, -0.961738-1.035011j, -0.453068-1.378932j, 0.185220-1.395632j, 0.820528-1.184321j, 1.217256-0.749891j, 1.392472-0.094046j, 1.337381+0.520641j, 0.946128+1.017078j, -0.299579-1.403306j, 0.297458-1.411299j, 0.887249-1.086212j, 1.306241-0.624455j, 1.400790-0.010531j, 1.248153+0.647946j, 0.874663+1.118599j, 0.257978+1.346289j, 0.446625-1.380246j, 0.959912-1.037344j, 1.329547-0.477283j, 1.429036+0.115528j, 1.180353+0.722487j, 0.750050+1.216310j, 0.168782+1.386237j, -0.500979+1.295952j, 1.070421-0.960965j, 1.344101-0.381027j, 1.396150+0.270872j, 1.144421+0.817511j, 0.615256+1.241566j, 0.028117+1.425417j, -0.579346+1.256088j, -1.119485+0.865597j, 
-1.316206-0.384358j, -1.068135-0.955674j, -0.539778-1.274185j, 0.144097-1.414855j, 0.700039-1.260213j, 1.161661-0.778090j, 1.447094-0.198363j, 1.348271+0.386517j, -0.935942-1.045794j, -0.446470-1.359365j, 0.222754-1.364940j, 0.843309-1.179959j, 1.222277-0.720423j, 1.411264-0.050931j, 1.348889+0.532354j, 0.929337+1.028900j, -0.276935-1.406176j, 0.310985-1.379021j, 0.926899-1.057337j, 1.327816-0.610997j, 1.395243+0.035074j, 1.269773+0.684880j, 0.890777+1.122419j, 0.241867+1.363442j, 0.465328-1.370374j, 0.968866-1.003895j, 1.371499-0.445777j, 1.431691+0.132407j, 1.168198+0.756658j, 0.769094+1.238579j, 0.169983+1.379971j, -0.511606+1.315803j, 1.071091-0.957214j, 1.357548-0.329773j, 1.432944+0.298316j, 1.138872+0.832268j, 0.612534+1.277212j, 0.050515+1.442370j, -0.584642+1.246589j, -1.134026+0.876973j, 1.383026-0.263877j, 1.355452+0.435094j, 1.093718+0.963299j, 0.522462+1.276484j, -0.129594+1.429430j, -0.677575+1.238422j, -1.165716+0.740574j, -1.426462+0.191450j, 1.303396+0.497705j, 0.963683+1.079787j, 0.454426+1.353919j, -0.241234+1.367978j, -0.827239+1.181964j, -1.198452+0.680516j, -1.409468+0.028292j, -1.308202-0.546186j, 0.842800+1.112458j, 0.298392+1.427802j, -0.313697+1.350986j, -0.934149+1.050007j, -1.295189+0.596995j, -1.364702-0.068266j, -1.244577-0.708275j, -0.815267-1.128481j, 
0.491590-1.272929j, 1.050469-1.024039j, 1.287642-0.454103j, 1.408772+0.260348j, 1.232526+0.773806j, 0.671461+1.204204j, 0.094738+1.479947j, -0.466920+1.314213j, 1.129947-0.846471j, 1.395267-0.368009j, 1.327076+0.321495j, 1.131064+0.952921j, 0.644353+1.249679j, -0.075410+1.412352j, -0.627970+1.330499j, -1.075178+0.850665j, 1.448695-0.163683j, 1.351529+0.381547j, 0.971577+1.011851j, 0.533262+1.382004j, -0.119267+1.363720j, -0.797400+1.219137j, -1.166536+0.823073j, -1.364860+0.123787j, 1.360064+0.562180j, 0.922167+1.015149j, 0.327142+1.413371j, -0.201434+1.431585j, -0.845234+1.092783j, -1.312210+0.685846j, -1.367948+0.092278j, -1.268032-0.633838j, 0.898392+1.135112j, 0.222124+1.358922j, -0.409247+1.420998j, -0.885314+1.083095j, -1.333953+0.500415j, -1.456748-0.037656j, -1.172797-0.663320j, -0.800863-1.209411j, 0.181275+1.389580j, -0.542810+1.304650j, -1.033668+1.042993j, -1.292395+0.422498j, -1.433617-0.243913j, -1.192955-0.741767j, -0.632912-1.219634j, -0.105042-1.452477j, -0.573820+1.248340j, -1.165685+0.882698j, -1.375216+0.375475j, -1.322294-0.356587j, -1.136298-0.918284j, -0.584616-1.218671j, 0.098169-1.411186j, 0.618417-1.279253j, -1.160352+0.743005j, -1.462212+0.213809j, -1.306190-0.392998j, -0.969497-1.023395j, -0.518950-1.332335j, 0.182648-1.336931j, 0.812406-1.209057j, 1.154923-0.743208j, 
1.307714+0.559811j, 0.858041+1.053662j, 0.310390+1.407214j, -0.268758+1.383068j, -0.906394+1.074037j, -1.312315+0.648190j, -1.385877+0.008013j, -1.292400-0.659885j, 0.827579+1.137891j, 0.175567+1.379400j, -0.424961+1.390949j, -0.948772+1.010278j, -1.366587+0.480507j, -1.432815-0.086206j, -1.186459-0.739166j, -0.797041-1.221294j, 0.103037+1.380241j, -0.585504+1.304886j, -1.052012+0.978571j, -1.354462+0.360574j, -1.441241-0.263336j, -1.157236-0.796391j, -0.638926-1.264569j, -0.092049-1.439895j, -0.646773+1.218244j, -1.186490+0.863839j, -1.377394+0.303420j, -1.365021-0.406480j, -1.114065-0.934268j, -0.548781-1.266010j, 0.096582-1.437192j, 0.640542-1.250752j, -1.217970+0.709302j, -1.453468+0.166327j, -1.308114-0.463972j, -0.987629-1.059332j, -0.484993-1.333591j, 0.217488-1.372941j, 0.798697-1.201222j, 1.182436-0.699861j, -1.453062-0.005217j, -1.317683-0.561241j, -0.856623-1.094013j, -0.333760-1.418371j, 0.276309-1.352381j, 0.915393-1.077763j, 1.271233-0.632523j, 1.366484+0.049657j, -1.266657-0.734423j, -0.815777-1.130741j, -0.169496-1.411220j, 0.400348-1.374438j, 0.952560-0.985228j, 1.356004-0.473552j, 1.383731+0.116422j, 1.149171+0.774382j, -0.737455-1.256935j, -0.081762-1.371838j, 0.576024-1.325892j, 1.026938-0.948331j, 1.342956-0.319325j, 1.409226+0.264021j, 1.088785+0.822729j, 0.602262+1.303382j, 
-0.620179+1.386397j, -1.034843+0.665643j, -1.571677+0.143075j, -1.342834-0.252435j, -0.875422-1.064023j, -0.645120-1.444196j, 0.087080-1.242022j, 0.907172-1.265124j, -1.101365+0.827173j, -1.342011-0.088034j, -1.487096-0.543740j, -0.868570-0.901173j, -0.267887-1.510980j, 0.076988-1.462488j, 0.860044-0.978079j, 1.407096-0.764688j, -1.259393+0.041078j, -1.246554-0.843685j, -1.018148-1.087794j, -0.140345-1.279181j, 0.431787-1.546893j, 0.745078-1.064001j, 1.384544-0.400939j, 1.526749-0.075457j, -1.021170-0.742039j, -0.798650-1.388474j, -0.281638-1.306471j, 0.654005-1.260464j, 1.023625-1.167918j, 1.182670-0.375201j, 1.524369+0.314770j, 1.229137+0.619076j, -0.465759-1.322680j, -0.128256-1.572108j, 0.518673-1.141895j, 1.280718-0.887502j, 1.317851-0.499747j, 1.242811+0.438166j, 1.259084+0.950235j, 0.583814+1.085764j, 0.254788-1.527404j, 0.557778-1.335872j, 1.137828-0.627823j, 1.573547-0.254563j, 1.230005+0.291453j, 0.932602+1.130904j, 0.660419+1.325894j, -0.222990+1.222113j, 0.926748-1.318029j, 1.070026-0.740381j, 1.440831+0.095329j, 1.449214+0.439565j, 0.768424+0.962827j, 0.342062+1.531792j, -0.099408+1.318158j, -0.974127+0.971437j, 1.349831-0.759828j, 1.233532+0.062061j, 1.340895+0.806054j, 0.937313+0.990510j, 0.060466+1.351490j, -0.356730+1.519824j, -0.804303+0.923366j, -1.470463+0.416220j, 
-1.331715-0.723505j, -0.536192-1.092867j, 0.003292-1.599651j, 0.353258-1.289743j, 1.174083-0.749731j, 1.500781-0.526888j, 1.211368+0.211452j, 1.185569+1.043885j, -0.717481-1.152863j, 0.238856-1.332582j, 0.663756-1.453591j, 0.967552-0.756218j, 1.557447-0.119264j, 1.437890+0.188504j, 0.866683+0.961157j, 0.648332+1.483888j, 0.082987-1.226905j, 0.973652-1.174579j, 1.149669-0.926966j, 1.277077+0.011018j, 1.523236+0.577900j, 0.976418+0.825574j, 0.257308+1.438093j, -0.044540+1.525896j, 0.849251-0.916960j, 1.475232-0.683420j, 1.293328-0.164380j, 1.204233+0.796583j, 1.092905+1.116799j, 0.236837+1.188061j, -0.466357+1.516488j, -0.701454+1.151033j, 1.375806-0.316869j, 1.590437-0.009222j, 1.045296+0.618346j, 0.764613+1.386274j, 0.383904+1.340296j, -0.578895+1.194440j, -1.058455+1.191077j, -1.120753+0.461677j, 1.524208+0.407900j, 1.273796+0.650290j, 0.486829+1.209290j, 0.120662+1.611176j, -0.395968+1.166483j, -1.245018+0.817840j, -1.373820+0.546526j, -1.182650-0.361036j, 1.250593+1.047199j, 0.622276+1.103704j, -0.254409+1.449898j, -0.554624+1.407876j, -1.036898+0.644308j, -1.583806+0.198666j, -1.281936-0.217013j, -0.868664-1.094764j, 0.650527+1.403725j, -0.204082+1.207996j, -0.947611+1.280318j, -1.042283+0.824258j, -1.360026-0.091333j, -1.493420-0.480974j, -0.811282-0.882442j, -0.280257-1.533907j, 
0.902311-1.108075j, 1.257277-0.508625j, 1.461462+0.095867j, 1.238950+0.633996j, 0.766445+1.190216j, 0.275474+1.446106j, -0.390037+1.311552j, -1.014832+1.062396j, 1.298756-0.475601j, 1.387586+0.246854j, 1.236214+0.790845j, 0.688838+1.186433j, 0.068326+1.465491j, -0.471210+1.342646j, -1.053600+0.911690j, -1.410323+0.434376j, 1.329582+0.294732j, 1.104305+0.947855j, 0.656278+1.268953j, -0.058300+1.392408j, -0.654553+1.330410j, -1.073001+0.868342j, -1.414345+0.242080j, -1.406430-0.303432j, 0.976725+0.982975j, 0.507933+1.401473j, -0.099705+1.383078j, -0.794612+1.192305j, -1.196851+0.823042j, -1.358022+0.145467j, -1.372083-0.503419j, -1.004189-0.950577j, 0.321702+1.387582j, -0.230876+1.448303j, -0.820692+1.100508j, -1.309874+0.655671j, -1.400574+0.095992j, -1.237579-0.614133j, -0.947091-1.101972j, -0.321264-1.301374j, -0.422796+1.404995j, -0.897169+1.105483j, -1.301333+0.493108j, -1.459551-0.061220j, -1.198243-0.647008j, -0.777491-1.201947j, -0.250635-1.390624j, 0.448371-1.282536j, -1.057783+1.024501j, -1.293686+0.448351j, -1.413081-0.252178j, -1.207976-0.760016j, -0.641135-1.191347j, -0.070003-1.455196j, 0.499585-1.269238j, 1.103323-0.874908j, -1.399942+0.368256j, -1.319957-0.330007j, -1.113135-0.942267j, -0.610081-1.234759j, 0.100427-1.387810j, 0.655316-1.288137j, 1.095272-0.786778j, 1.442156-0.203127j, 
0.852368+1.083930j, 0.476745+1.428638j, -0.201408+1.292376j, -0.945564+1.163710j, -1.197969+0.780726j, -1.356041-0.019595j, -1.426939-0.583185j, -0.923327-0.960395j, 0.195112+1.456224j, -0.255016+1.418145j, -0.929201+0.969149j, -1.402520+0.620773j, -1.343896+0.019266j, -1.224329-0.778115j, -0.950293-1.138645j, -0.196066-1.299610j, -0.534275+1.439201j, -0.908438+1.003542j, -1.393048+0.351593j, -1.498260-0.092771j, -1.095371-0.736341j, -0.742279-1.329440j, -0.232012-1.356588j, 0.579951-1.242229j, -1.103716+1.021139j, -1.283799+0.309270j, -1.465496-0.382175j, -1.178590-0.775793j, -0.518284-1.269014j, -0.048504-1.520956j, 0.538805-1.179250j, 1.212496-0.832045j, -1.389535+0.329905j, -1.274968-0.488038j, -1.145325-1.025170j, -0.530551-1.211346j, 0.218542-1.436218j, 0.644617-1.289709j, 1.131034-0.663487j, 1.504986-0.169183j, -1.266958-0.440059j, -0.895119-1.146521j, -0.509006-1.383937j, 0.270423-1.282937j, 0.907635-1.214685j, 1.137307-0.710150j, 1.389226+0.075084j, 1.376037+0.544861j, -0.775384-1.062839j, -0.251241-1.497228j, 0.242846-1.341005j, 0.980438-0.971537j, 1.349748-0.635823j, 1.281675+0.066209j, 1.251690+0.804766j, 0.870795+1.093986j, -0.051457-1.372171j, 0.453372-1.441211j, 0.902296-0.916440j, 1.427560-0.363643j, 1.407382+0.095325j, 1.046524+0.815010j, 0.752661+1.320976j, 0.129852+1.316076j, 
-1.191476+0.702565j, -1.477608+0.319939j, -1.237021-0.365577j, -1.064246-1.086592j, -0.637014-1.263850j, 0.207628-1.340817j, 0.742160-1.359397j, 1.048640-0.777569j, -1.495842+0.016818j, -1.370896-0.410766j, -0.842593-1.046257j, -0.463006-1.484770j, 0.141083-1.310658j, 0.936735-1.131187j, 1.228690-0.826859j, 1.298652-0.019290j, -1.387951-0.695923j, -0.876365-1.008103j, -0.172963-1.438001j, 0.259005-1.472537j, 0.859434-0.983057j, 1.422823-0.586689j, 1.354705-0.073168j, 1.167604+0.749719j, -0.898568-1.216543j, -0.132982-1.293504j, 0.563429-1.436618j, 0.887462-1.065796j, 1.333521-0.342368j, 1.520140+0.118984j, 1.096054+0.675476j, 0.681221+1.325055j, -0.169741-1.401160j, 0.643038-1.203012j, 1.145318-1.034095j, 1.245864-0.366160j, 1.417939+0.406378j, 1.201083+0.778256j, 0.498935+1.206901j, -0.008214+1.528784j, 0.580204-1.178628j, 1.268920-0.755690j, 1.419496-0.356128j, 1.229789+0.436770j, 1.108297+1.054670j, 0.559204+1.198124j, -0.257488+1.388511j, -0.695465+1.311032j, 1.147337-0.615169j, 1.532795-0.074391j, 1.284466+0.394837j, 0.836352+1.115330j, 0.495233+1.413180j, -0.234267+1.252004j, -0.959239+1.162457j, -1.169863+0.733220j, 1.375253+0.139049j, 1.379106+0.615982j, 0.783788+1.011259j, 0.191067+1.478841j, -0.248800+1.375015j, -0.957695+0.931254j, -1.404571+0.609416j, -1.302652-0.033602j, 
-0.660720-1.248242j, -0.048156-1.415081j, 0.571249-1.290117j, 1.094889-0.920292j, 1.381294-0.352673j, 1.397592+0.291117j, 1.139564+0.860202j, 0.641349+1.263393j, 0.071164-1.414681j, 0.680867-1.243996j, 1.168089-0.814829j, 1.412166-0.236655j, 1.372795+0.396962j, 1.056536+0.956859j, 0.532936+1.315308j, -0.098972+1.405741j, 0.798571-1.183067j, 1.227755-0.721744j, 1.430225-0.104412j, 1.331076+0.517858j, 0.962845+1.043169j, 0.415173+1.364214j, -0.220644+1.391933j, -0.812679+1.146198j, 1.288471-0.608737j, 1.422049+0.016255j, 1.282660+0.642373j, 0.871881+1.118043j, 0.291267+1.381109j, -0.339842+1.367927j, -0.903417+1.070151j, -1.289780+0.557064j, 1.426814+0.134789j, 1.217969+0.738442j, 0.772958+1.195522j, 0.173382+1.403689j, -0.466622+1.333089j, -0.992392+0.987633j, -1.323623+0.441717j, -1.393491-0.187004j, 1.148439+0.839316j, 0.663658+1.256289j, 0.047772+1.413884j, -0.574901+1.279118j, -1.083862+0.900923j, -1.360230+0.323203j, -1.362355-0.309550j, -1.093348-0.884278j, 0.553787+1.302245j, -0.079147+1.415436j, -0.674449+1.223878j, -1.155175+0.799526j, -1.386024+0.203814j, -1.334075-0.424895j, -1.003563-0.980994j, -0.483276-1.321321j, -0.191119+1.401198j, -0.783181+1.165882j, -1.217132+0.693062j, -1.401576+0.078748j, -1.289212-0.540350j, -0.913453-1.061433j, -0.356568-1.368462j, 0.272418-1.381502j, 
1.294082-0.556816j, 1.349338+0.201906j, 1.282426+0.775831j, 0.755125+1.122060j, 0.094400+1.449470j, -0.412967+1.395560j, -0.991238+0.929761j, -1.417995+0.469119j, 1.339301+0.215986j, 1.107385+0.920587j, 0.725675+1.273676j, 0.004642+1.357912j, -0.636716+1.352909j, -1.016031+0.935321j, -1.385570+0.262978j, -1.445788-0.256264j, 0.996736+0.914196j, 0.542206+1.400991j, -0.009816+1.400353j, -0.751438+1.190638j, -1.200206+0.885607j, -1.322700+0.221854j, -1.385275-0.483205j, -1.076262-0.901278j, 0.348899+1.349082j, -0.176644+1.489023j, -0.743347+1.127959j, -1.300774+0.670793j, -1.413787+0.175565j, -1.232665-0.557308j, -0.994368-1.097404j, -0.404789-1.268484j, -0.406130+1.400273j, -0.850639+1.170722j, -1.244740+0.534653j, -1.496506-0.033161j, -1.225367-0.567606j, -0.784858-1.175195j, -0.321515-1.406047j, 0.384232-1.271588j, -1.055101+1.068470j, -1.268189+0.527999j, -1.396830-0.226897j, -1.270017-0.727630j, -0.690691-1.133720j, -0.095396-1.462428j, 0.418464-1.316587j, 1.051307-0.879211j, -1.417248+0.421753j, -1.313064-0.253955j, -1.136220-0.920859j, -0.694772-1.204375j, 0.053287-1.359623j, 0.621331-1.335217j, 1.040751-0.835513j, 1.434322-0.232003j, -1.376600-0.310948j, -0.962881-0.951055j, -0.559694-1.370401j, 0.071015-1.333626j, 0.798673-1.191284j, 1.164642-0.839059j, 1.340091-0.121358j, 1.405220+0.506011j, 
0.302421+1.374408j, -0.353661+1.365559j, -0.924854+1.097121j, -1.294550+0.581409j, -1.432446-0.046976j, -1.270701-0.651799j, -0.835795-1.141398j, -0.267120-1.398643j, -0.455160+1.331499j, -1.016537+1.000426j, -1.346154+0.483525j, -1.412981-0.169190j, -1.205329-0.775628j, -0.747154-1.200837j, -0.134450-1.411055j, 0.487209-1.328778j, -1.088025+0.901564j, -1.390502+0.342545j, -1.393233-0.282123j, -1.126725-0.869917j, -0.646896-1.269822j, -0.011770-1.401031j, 0.619096-1.275483j, 1.091236-0.874653j, -1.413647+0.215716j, -1.380065-0.411044j, -1.044750-0.958383j, -0.519365-1.324999j, 0.095026-1.407588j, 0.716934-1.202711j, 1.179786-0.779466j, 1.378911-0.181441j, -1.323093-0.537750j, -0.972369-1.037028j, -0.399058-1.352350j, 0.233156-1.407001j, 0.799295-1.137240j, 1.239393-0.657841j, 1.406630-0.059508j, 1.269773+0.571248j, -0.875955-1.139364j, -0.296623-1.374792j, 0.365450-1.366247j, 0.904511-1.077371j, 1.275353-0.546248j, 1.410615+0.078020j, 1.221826+0.674316j, 0.784983+1.163367j, -0.173000-1.413375j, 0.468499-1.318378j, 1.008970-0.979943j, 1.331577-0.446385j, 1.382280+0.206805j, 1.166557+0.788773j, 0.693050+1.216453j, 0.077208+1.420248j, 0.572943-1.288734j, 1.078761-0.882581j, 1.366843-0.322878j, 1.354964+0.316447j, 1.080847+0.900313j, 0.594293+1.280683j, -0.045156+1.404508j, -0.660959+1.271358j, 
-1.452176-0.022189j, -1.366842-0.487947j, -0.846543-1.049371j, -0.382860-1.478088j, 0.177324-1.362605j, 0.921702-1.086014j, 1.280219-0.755493j, 1.318875-0.026183j, -1.318258-0.746396j, -0.874416-1.067500j, -0.157990-1.403280j, 0.342399-1.465921j, 0.879444-0.990459j, 1.405050-0.515279j, 1.404663-0.020490j, 1.144088+0.736523j, -0.818439-1.267278j, -0.137060-1.324549j, 0.596511-1.367098j, 0.960660-1.051997j, 1.314913-0.347214j, 1.492993+0.197089j, 1.117293+0.705446j, 0.628329+1.294228j, -0.113416-1.443780j, 0.642791-1.199421j, 1.186243-0.952458j, 1.298057-0.351866j, 1.368285+0.420362j, 1.173637+0.853748j, 0.510995+1.210332j, -0.082571+1.493425j, 0.633603-1.206393j, 1.239080-0.716227j, 1.446284-0.275151j, 1.243433+0.430887j, 1.034920+1.078821j, 0.533423+1.260754j, -0.261115+1.349333j, -0.768572+1.270310j, 1.163337-0.634028j, 1.495003-0.015088j, 1.311125+0.462599j, 0.819994+1.092524j, 0.407010+1.428665j, -0.240113+1.284149j, -0.965938+1.096171j, -1.237127+0.700132j, 1.354391+0.131204j, 1.334100+0.687513j, 0.794084+1.047024j, 0.144806+1.436616j, -0.323370+1.388196j, -0.953477+0.926634j, -1.406685+0.521391j, -1.344217-0.058472j, 1.145473+0.862448j, 0.812302+1.197252j, 0.050924+1.308534j, -0.584194+1.378222j, -0.947612+0.958405j, -1.379284+0.282305j, -1.473347-0.194900j, -1.059946-0.802387j, 
0.222901-1.433009j, 0.721562-1.242681j, 1.194462-0.686309j, 1.488378-0.148584j, 1.308490+0.431004j, 0.951216+1.075644j, 0.507085+1.357059j, -0.197703+1.332617j, 0.911467-1.171276j, 1.213648-0.662470j, 1.427840+0.042870j, 1.357486+0.571114j, 0.854606+1.051378j, 0.306885+1.438458j, -0.240240+1.367577j, -0.913177+1.039597j, 1.359801-0.592661j, 1.358255+0.102692j, 1.265770+0.770974j, 0.845359+1.129510j, 0.145725+1.379979j, -0.422963+1.409160j, -0.916818+0.992934j, -1.365693+0.435731j, 1.414741+0.157585j, 1.111411+0.828512j, 0.745763+1.286726j, 0.111296+1.355441j, -0.609344+1.298684j, -1.030271+0.980650j, -1.307153+0.314555j, -1.439682-0.294959j, 1.080199+0.848917j, 0.530575+1.331893j, 0.016771+1.444933j, -0.650193+1.178036j, -1.200548+0.853209j, -1.337067+0.295739j, -1.318262-0.458350j, -1.098896-0.951552j, 0.434949+1.284594j, -0.192987+1.455896j, -0.694731+1.195119j, -1.217436+0.665198j, -1.446145+0.156734j, -1.245201-0.479700j, -0.945305-1.106122j, -0.450854-1.326475j, -0.334978+1.341918j, -0.872611+1.173312j, -1.199126+0.605166j, -1.432649-0.057287j, -1.288164-0.575062j, -0.786767-1.115421j, -0.292020-1.447739j, 0.317778-1.326151j, -1.015479+1.014952j, -1.304361+0.565247j, -1.333383-0.164050j, -1.254737-0.768607j, -0.764108-1.127241j, -0.085537-1.421583j, 0.445813-1.392574j, 0.986227-0.935021j, 
1.321128+0.301094j, 0.975756+1.031164j, 0.627691+1.351538j, -0.105766+1.320928j, -0.797668+1.286719j, -1.089384+0.863493j, -1.374656+0.113939j, -1.445575-0.404557j, 0.897727+0.969315j, 0.367288+1.465046j, -0.116870+1.405058j, -0.851663+1.080273j, -1.304007+0.774863j, -1.311370+0.119415j, -1.310608-0.638595j, -1.017934-1.002667j, 0.207887+1.346812j, -0.342789+1.489521j, -0.814623+1.068434j, -1.363851+0.517137j, -1.452242+0.063495j, -1.149160-0.654263j, -0.876198-1.229509j, -0.309121-1.299455j, -0.562300+1.343817j, -0.966409+1.111607j, -1.251054+0.407663j, -1.497900-0.207039j, -1.191957-0.654730j, -0.633418-1.233573j, -0.191271-1.462730j, 0.475161-1.212322j, -1.184716+0.944607j, -1.313302+0.443789j, -1.333183-0.370639j, -1.214336-0.870112j, -0.588150-1.167383j, 0.077414-1.468925j, 0.530936-1.295833j, 1.114816-0.759303j, -1.486949+0.293995j, -1.266424-0.339780j, -1.019484-1.052967j, -0.609655-1.279328j, 0.190370-1.317393j, 0.778179-1.291070j, 1.081299-0.763825j, 1.445324-0.058485j, -1.375974-0.435814j, -0.849152-1.008105j, -0.404300-1.442242j, 0.163827-1.321124j, 0.926196-1.078333j, 1.268504-0.750616j, 1.315573-0.010202j, 1.359603+0.671753j, -0.884525-1.015845j, -0.170072-1.386275j, 0.311070-1.438471j, 0.871403-0.973428j, 1.406527-0.512678j, 1.384794-0.006562j, 1.151078+0.763354j, 0.897911+1.227569j, 
-0.406637+1.187082j, -1.260590+0.710964j, -1.438847+0.494970j, -1.138161-0.364283j, -1.165207-1.106989j, -0.688784-1.117713j, 0.287402-1.356529j, 0.645853-1.459836j, -1.005897+0.617210j, -1.593760+0.073885j, -1.317196-0.245830j, -0.781348-1.092137j, -0.603009-1.492017j, 0.124150-1.188292j, 1.012065-1.201303j, 1.114575-0.911360j, -1.297948-0.154827j, -1.490879-0.592769j, -0.808150-0.878903j, -0.160378-1.528440j, 0.107131-1.459536j, 0.901961-0.890869j, 1.486792-0.708569j, 1.259508-0.134953j, -1.193430-0.907049j, -0.998290-1.096451j, -0.053029-1.228107j, 0.531452-1.545481j, 0.766603-1.036439j, 1.419697-0.288138j, 1.576136-0.029019j, 1.012750+0.660988j, -0.740310-1.442872j, -0.253309-1.281131j, 0.741301-1.198285j, 1.089904-1.158514j, 1.172377-0.313447j, 1.556704+0.414960j, 1.238585+0.634493j, 0.446570+1.260018j, -0.078567-1.594886j, 0.543438-1.068305j, 1.364072-0.809266j, 1.353725-0.475498j, 1.206344+0.511409j, 1.271046+1.039720j, 0.570462+1.086750j, -0.280837+1.489134j, 0.592919-1.330560j, 1.170645-0.528341j, 1.643798-0.184119j, 1.210542+0.309126j, 0.879127+1.213548j, 0.657234+1.379141j, -0.258932+1.193624j, -0.953782+1.313756j, 1.069473-0.705695j, 1.452845+0.197037j, 1.477568+0.490395j, 0.714020+0.974821j, 0.279375+1.600944j, -0.092618+1.326768j, -1.015221+0.913066j, -1.380605+0.778993j, 
